test,layer,biterror,acc
4.0,2.0,0.015625,0.8064590542099193
4.0,3.0,0.015625,0.839677047289504
4.0,4.0,0.015625,0.8525951557093425
4.0,5.0,0.015625,0.8288350634371395
4.0,0.0,0.0078125,0.0020761245674740486
4.0,1.0,0.0078125,0.8389850057670127
4.0,2.0,0.0078125,0.8378316032295271
4.0,3.0,0.0078125,0.8445213379469435
4.0,4.0,0.0078125,0.8516724336793541
4.0,5.0,0.0078125,0.8389850057670127
4.0,0.0,0.00390625,0.00392156862745098
4.0,1.0,0.00390625,0.8498269896193772
4.0,2.0,0.00390625,0.8433679354094579
4.0,3.0,0.00390625,0.8549019607843137
4.0,4.0,0.00390625,0.8558246828143022
4.0,5.0,0.00390625,0.8498269896193772
4.0,0.0,0.001953125,0.00392156862745098
4.0,1.0,0.001953125,0.8549019607843137
4.0,2.0,0.001953125,0.8532871972318339
4.0,3.0,0.001953125,0.857439446366782
4.0,4.0,0.001953125,0.8572087658592848
4.0,5.0,0.001953125,0.8516724336793541
4.0,0.0,0.0009765625,0.0034602076124567475
4.0,1.0,0.0009765625,0.8549019607843137
4.0,2.0,0.0009765625,0.8562860438292964
4.0,3.0,0.0009765625,0.855594002306805
4.0,4.0,0.0009765625,0.8576701268742791
4.0,5.0,0.0009765625,0.855594002306805
